,task,gt_path,obj_id,n_pos
0,Task10_Colon,Task10_Colon/labelsTr/colon_166.nii.gz,1.0,16
1,Task10_Colon,Task10_Colon/labelsTr/colon_171.nii.gz,1.0,12
2,Task10_Colon,Task10_Colon/labelsTr/colon_129.nii.gz,1.0,27
3,Task10_Colon,Task10_Colon/labelsTr/colon_031.nii.gz,1.0,18
4,Task10_Colon,Task10_Colon/labelsTr/colon_176.nii.gz,1.0,3
5,Task10_Colon,Task10_Colon/labelsTr/colon_140.nii.gz,1.0,15
6,Task10_Colon,Task10_Colon/labelsTr/colon_192.nii.gz,1.0,10
7,Task10_Colon,Task10_Colon/labelsTr/colon_092.nii.gz,1.0,8
8,Task10_Colon,Task10_Colon/labelsTr/colon_007.nii.gz,1.0,7
9,Task10_Colon,Task10_Colon/labelsTr/colon_036.nii.gz,1.0,6
10,Task10_Colon,Task10_Colon/labelsTr/colon_161.nii.gz,1.0,10
11,Task10_Colon,Task10_Colon/labelsTr/colon_111.nii.gz,1.0,9
12,Task10_Colon,Task10_Colon/labelsTr/colon_159.nii.gz,1.0,8
13,Task10_Colon,Task10_Colon/labelsTr/colon_145.nii.gz,1.0,9
14,Task10_Colon,Task10_Colon/labelsTr/colon_131.nii.gz,1.0,10
15,Task10_Colon,Task10_Colon/labelsTr/colon_122.nii.gz,1.0,9
16,Task10_Colon,Task10_Colon/labelsTr/colon_042.nii.gz,1.0,4
17,Task10_Colon,Task10_Colon/labelsTr/colon_212.nii.gz,1.0,18
18,Task10_Colon,Task10_Colon/labelsTr/colon_163.nii.gz,1.0,7
19,Task10_Colon,Task10_Colon/labelsTr/colon_181.nii.gz,1.0,9
20,Task10_Colon,Task10_Colon/labelsTr/colon_038.nii.gz,1.0,5
21,Task10_Colon,Task10_Colon/labelsTr/colon_040.nii.gz,1.0,11
22,Task10_Colon,Task10_Colon/labelsTr/colon_143.nii.gz,1.0,15
23,Task10_Colon,Task10_Colon/labelsTr/colon_045.nii.gz,1.0,10
24,Task10_Colon,Task10_Colon/labelsTr/colon_142.nii.gz,1.0,12
25,Task10_Colon,Task10_Colon/labelsTr/colon_078.nii.gz,1.0,10
26,Task10_Colon,Task10_Colon/labelsTr/colon_064.nii.gz,1.0,12
27,Task10_Colon,Task10_Colon/labelsTr/colon_077.nii.gz,1.0,12
28,Task10_Colon,Task10_Colon/labelsTr/colon_066.nii.gz,1.0,12
29,Task10_Colon,Task10_Colon/labelsTr/colon_118.nii.gz,1.0,10
30,Task10_Colon,Task10_Colon/labelsTr/colon_134.nii.gz,1.0,3
31,Task10_Colon,Task10_Colon/labelsTr/colon_127.nii.gz,1.0,25
32,Task10_Colon,Task10_Colon/labelsTr/colon_061.nii.gz,1.0,9
33,Task10_Colon,Task10_Colon/labelsTr/colon_108.nii.gz,1.0,12
34,Task10_Colon,Task10_Colon/labelsTr/colon_075.nii.gz,1.0,5
35,Task10_Colon,Task10_Colon/labelsTr/colon_026.nii.gz,1.0,10
